Experiment,Accuracy,Macro F1,Weighted F1,Negative F1,Neutral F1,Positive F1
Balanced,0.6766561514195584,0.5515402126451973,0.6765162950650435,0.7626459143968871,0.30666666666666664,0.5853080568720379
Neutral 3x,0.694794952681388,0.507888337442809,0.6684257058785242,0.789838337182448,0.20408163265306123,0.5297450424929179
Neutral 2x,0.694794952681388,0.4852365888102718,0.6644812817804977,0.7903503733486502,0.13636363636363635,0.5289957567185289
Neutral 1.5x,0.694006309148265,0.4796808148290175,0.6629209321344737,0.7876004592422503,0.11904761904761904,0.532394366197183
Equal Weights,0.694794952681388,0.47339475052289237,0.6621142437300107,0.788538681948424,0.1,0.5316455696202531
