Experiment,Word Ngram,Char Ngram,C,Accuracy,Macro F1,Weighted F1
Experiment 1,"(1, 2)","(3, 5)",1.0,0.6766561514195584,0.5515402126451973,0.6765162950650435
Experiment 2,"(1, 2)","(3, 5)",2.0,0.6837539432176656,0.5507633883592963,0.6804465361661179
Experiment 5,"(1, 2)","(2, 5)",2.0,0.6750788643533123,0.5475337497270107,0.672230317957856
Experiment 4,"(1, 3)","(3, 5)",2.0,0.6837539432176656,0.5434545319400025,0.6791033821480045
Experiment 3,"(1, 2)","(3, 5)",4.0,0.6790220820189274,0.5338693245728422,0.6725692455385875
Experiment 6,"(1, 3)","(3, 6)",4.0,0.6774447949526814,0.532534275574852,0.670940943049207
